sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
14,13397,LH2,1470,750,5.982558434625176,0.0003424120456768,0.0730503
14,13405,LH2,1470,750,5.982525935474061,0.0003542474906831,0.0566481
8,13450,LH2,1470,750,5.982574313545453,0.0002296834401515,0.00319127
8,13451,LH2,1470,750,5.982728842641508,0.0003306303930087,0.00172723
8,13452,LH2,1470,750,5.982552844528302,0.0004714110523782,0.0095898
8,13459,LH2,0,750,5.982629667638377,0.0003618779614477,0.0292071
8,13460,LH2,0,750,5.982663648681318,0.0003570794830775,0.0287277
8,13461,LH2,0,750,5.9826054339,0.0002297098025013,0.0291978
8,13463,LH2,0,750,5.982669727272726,0.0003486013420615,0.030612
8,13464,LH2,0,750,5.982674012934782,0.0003311351566106,0.0300583
8,13465,LH2,0,750,5.9827886682130575,0.0003667367918432,0.0281927
8,13466,LH2,0,750,5.982689540503875,0.0003016193771599,0.0285182
8,13482,LH2,1470,750,5.982943870452674,0.0005361657783433,0.00752672
8,13483,LH2,1470,750,5.982579414820628,0.0003126563462288,0.0252414
8,13484,LH2,1470,750,5.982679601639345,0.0004216641263204,0.0216758
8,13485,LH2,1470,750,5.983015849268292,0.0005068415050904,0.0101412
8,13486,LH2,1470,750,5.982659154795698,0.0004695164099896,0.0225405
8,13487,LH2,1470,750,5.98252207039823,0.0003060645781363,0.0275672
8,13488,LH2,1470,750,5.982476375790697,0.0002918472144886,0.0252415
8,13489,LH2,1470,750,5.982703865812499,0.0004951268856277,0.0217904
8,13490,LH2,1470,750,5.9827582479288015,0.0005142728484428,0.0257141
8,13537,LH2,2100,750,5.98355740917591,0.0005289650016748,0.0318802
8,13538,LH2,2100,750,5.982995437632932,0.0010781778981468,0.0297049
8,13539,LH2,2100,750,5.982745354292453,0.0005342708301495,0.0321627
8,13540,LH2,2100,750,5.982416978044692,0.0002847368267729,0.0315247
8,13541,LH2,2100,750,5.982395239520295,0.0003046939390107,0.0315946
8,13542,LH2,2100,750,5.982370169347826,0.000282915081465,0.0320255
8,13543,LH2,2100,750,5.982428229283387,0.0003959840582811,0.0164379
8,13573,LH2,1470,750,5.982484139695512,0.0003815956304856,0.0337481
8,13574,LH2,1470,750,5.982531687617554,0.0002831497272044,0.0359635
8,13575,LH2,1470,750,5.982597920290859,0.0003887862801769,0.0368658
8,13576,LH2,1470,750,5.982668073018335,0.0003811911089934,0.0355275
8,13577,LH2,1470,750,5.982578472612902,0.0002398742109507,0.036044
8,13578,LH2,1470,750,5.982567136822289,0.0003188679641822,0.0362032
8,13580,LH2,1050,750,5.982448266659876,0.0001250827458913,0.0304745
9,13656,LH2,1470,750,4.026856636599999,9.188143429949513e-05,0.0119316
9,13657,LH2,1470,750,4.026776222657808,0.0001389515693698,0.00484809
9,13663,LH2,1470,750,4.026821213238866,0.0001396009056494,0.0294374
9,13676,LH2,1470,750,4.026780631066351,6.450913825052732e-05,0.0299769
9,13683,LH2,1470,750,4.026774072552692,5.429869456294079e-05,0.0465479
9,13696,LH2,1470,750,4.026706674893238,8.970347989262949e-05,0.0527743
9,13697,LH2,1470,750,4.0267598614285705,5.023284409367043e-05,0.0397992
9,13719,LH2,1470,750,4.026851314621212,0.0002337271887553,0.0551724
9,13720,LH2,1470,750,4.026897978436364,0.0001277873527149,0.0309702
9,13730,LH2,1470,750,4.027039485263774,0.0001612818727617,0.0873423
9,13747,LH2,1470,750,4.026689251736841,0.0005671795930659,0.0897387
9,13768,LH2,1470,750,4.0266568667647045,0.0006685706496136,0.0514135
9,13769,LH2,1470,750,4.02670509654717,0.0006237730315136,0.0491025
9,13795,LH2,1470,750,4.026921507142856,0.0003339354006559,0.0476982
9,13796,LH2,1470,750,4.026961865265823,0.0002321877006304,0.0490025
